"","Media","Strain","Trial","OD600"
"680","pa14_spent","JV134","trial_2",0
"681","pa14_spent","JV135","trial_2",0
"682","pa14_spent","JV136","trial_2",0
"683","pa14_spent","JV137","trial_2",0
"684","pa14_spent","JV138","trial_2",0
"685","pa14_spent","JV139","trial_2",0
"686","pa14_spent","JV140","trial_2",0
"687","pa14_spent","JV141","trial_2",0
"688","pa14_spent","JV142","trial_2",0
"689","pa14_spent","JV143","trial_2",0
"690","pa14_spent","JV144","trial_2",0
"691","pa14_spent","JV145","trial_2",0.062
"692","pa14_spent","JV146","trial_2",0
"693","pa14_spent","JV147","trial_2",0
"694","pa14_spent","JV148","trial_2",0
"695","pa14_spent","JV149","trial_2",0
"696","pa14_spent","JV150","trial_2",0
"697","pa14_spent","JV151","trial_2",0
"698","pa14_spent","JV152","trial_2",0
"699","pa14_spent","JV153","trial_2",0
"700","pa14_spent","JV154","trial_2",0
"701","pa14_spent","JV155","trial_2",0
"702","pa14_spent","JV156","trial_2",0
"703","pa14_spent","JV157","trial_2",0
"704","pa14_spent","JV172","trial_2",0.271
"705","pa14_spent","JV173","trial_2",0.23
"706","pa14_spent","JV174","trial_2",0.074
"707","pa14_spent","JV175","trial_2",0.055
"708","pa14_spent","JV176","trial_2",0.11
"709","pa14_spent","JV177","trial_2",0.039
"710","pa14_spent","JV178","trial_2",0.015
"711","pa14_spent","JV179","trial_2",0.022
"712","pa14_spent","JV180","trial_2",0.135
"713","pa14_spent","JV181","trial_2",0.076
"714","pa14_spent","JV182","trial_2",0.048
"715","pa14_spent","JV183","trial_2",0.044
"716","pa14_spent","JV184","trial_2",0.023
"717","pa14_spent","JV185","trial_2",0
"718","pa14_spent","JV186","trial_2",0.011
"719","pa14_spent","JV187","trial_2",0.197
"720","pa14_spent","JV188","trial_2",0.322
"721","pa14_spent","JV189","trial_2",0.09
"722","pa14_spent","JV190","trial_2",0.204
"723","pa14_spent","JV191","trial_2",0.173
"724","pa14_spent","JV192","trial_2",0.032
"725","pa14_spent","JV205","trial_2",0.275
"726","pa14_spent","JV206","trial_2",0.342
"727","pa14_spent","JV207","trial_2",0.119
"728","pa14_spent","JV208","trial_2",0.084
"729","pa14_spent","JV209","trial_2",0.049
"730","pa14_spent","JV210","trial_2",0.073
"731","pa14_spent","JV211","trial_2",0.027
"732","pa14_spent","JV212","trial_2",0.336
"733","pa14_spent","JV213","trial_2",0.222
"734","pa14_spent","JV214","trial_2",0.11
"735","pa14_spent","JV215","trial_2",0.213
"736","pa14_spent","JV216","trial_2",0.033
"737","pa14_spent","JV217","trial_2",0.043
"738","pa14_spent","JV218","trial_2",0
"739","pa14_spent","JV219","trial_2",0.164
"740","pa14_spent","JV220","trial_2",0.065
"741","pa14_spent","JV221","trial_2",0.064
"742","pa14_spent","JV222","trial_2",0.065
"743","pa14_spent","JV223","trial_2",0.07
"744","pa14_spent","JV224","trial_2",0.039
"745","pa14_spent","JV225","trial_2",0.032
"746","pa14_spent","JV226","trial_2",0.22
"747","pa14_spent","JV227","trial_2",0.269
"748","pa14_spent","JV228","trial_2",0.262
"749","pa14_spent","JV231","trial_2",0.153
"750","pa14_spent","JV232","trial_2",0.054
"751","pa14_spent","JV233","trial_2",0.063
"752","pa14_spent","JV234","trial_2",0.03
"753","pa14_spent","JV235","trial_2",0.236
"754","pa14_spent","JV236","trial_2",0.317
"755","pa14_spent","JV237","trial_2",0.256
"756","pa14_spent","JV238","trial_2",0.095
"757","pa14_spent","JV239","trial_2",0.072
"758","pa14_spent","JV240","trial_2",0.021
"759","pa14_spent","JV241","trial_2",0.024
"760","pa14_spent","JV242","trial_2",0.093
"761","pa14_spent","JV243","trial_2",0.376
"762","pa14_spent","JV244","trial_2",0.21
"763","pa14_spent","JV245","trial_2",0.212
"764","pa14_spent","JV246","trial_2",0.037
"765","pa14_spent","JV247","trial_2",0.018
"766","pa14_spent","JV248","trial_2",0
"767","pa14_spent","JV249","trial_2",0.46
"768","pa14_spent","JV250","trial_2",0.071
"769","pa14_spent","JV251","trial_2",0.003
"770","pa14_spent","JV252","trial_2",0.008
"771","pa14_spent","JV253","trial_2",0.006
"772","pa14_spent","JV254","trial_2",0.009
"773","pa14_spent","JV255","trial_2",0
"774","pa14_spent","JV256","trial_2",0.341
"775","pa14_spent","JV278","trial_2",0.126
"776","pa14_spent","JV281","trial_2",0.263
"777","pa14_spent","JV284","trial_2",0.216
"778","pa14_spent","JV285","trial_2",0.169
"779","pa14_spent","JV286","trial_2",0.042
"780","pa14_spent","JV385","trial_2",0.033
"781","pa14_spent","JV386","trial_2",0.044
"782","pa14_spent","JV387","trial_2",0.046
"783","pa14_spent","JV388","trial_2",0.084
"784","pa14_spent","JV389","trial_2",0.036
"785","pa14_spent","JV390","trial_2",0.061
"786","pa14_spent","JV396","trial_2",0.043
"787","pa14_spent","JV397","trial_2",0
"788","pa14_spent","JV398","trial_2",0.44
"789","pa14_spent","JV399","trial_2",0.309
"790","pa14_spent","JV400","trial_2",0.076
"791","pa14_spent","JV401","trial_2",0.041
"792","pa14_spent","JV402","trial_2",0
"793","pa14_spent","JV403","trial_2",0
"794","pa14_spent","JV404","trial_2",0.042
"795","pa14_spent","JV405","trial_2",0.049
"796","pa14_spent","JV406","trial_2",0.159
"797","pa14_spent","JV407","trial_2",0.062
"798","pa14_spent","JV408","trial_2",0.057
"799","pa14_spent","JV409","trial_2",0
"800","pa14_spent","JV410","trial_2",0
"801","pa14_spent","JV411","trial_2",0
"802","pa14_spent","KPPR1","trial_2",0
"803","pa14_spent","KPPR1","trial_2",0.016
"804","pa14_spent","KPPR1","trial_2",0
"805","pa14_spent","KPPR1","trial_2",0
"806","pa14_spent","KPPR1","trial_2",0
"807","pa14_spent","KPPR1","trial_2",0
"808","pa14_spent","KPPR1","trial_2",0
"809","pa14_spent","KPPR1","trial_2",0.136
"810","pa14_spent","KPPR1","trial_2",0.147
"811","pa14_spent","KPPR1","trial_2",0.012
"812","pa14_spent","KPPR1","trial_2",0.024
"813","pa14_spent","KPPR1","trial_2",0
"814","pa14_spent","KPPR1","trial_2",0
"815","LB","JV158","trial_3",1.613
"816","LB","JV159","trial_3",1.683
"817","LB","JV160","trial_3",1.866
"818","LB","JV161","trial_3",1.492
"819","LB","JV162","trial_3",1.556
"820","LB","JV163","trial_3",1.698
"821","LB","JV164","trial_3",1.543
"822","LB","JV165","trial_3",1.485
"823","LB","JV166","trial_3",1.554
"824","LB","JV167","trial_3",1.469
"825","LB","JV168","trial_3",1.554
"826","LB","JV169","trial_3",1.583
"827","LB","JV170","trial_3",1.163
"828","LB","JV171","trial_3",1.576
"829","LB","JV412","trial_3",1.736
"830","LB","JV413","trial_3",1.552
"831","LB","JV414","trial_3",1.555
"832","LB","KPPR1","trial_3",1.271
"833","LB","KPPR1","trial_3",1.358
"834","pa14_spent","JV158","trial_3",0.029
"835","pa14_spent","JV159","trial_3",0.023
"836","pa14_spent","JV160","trial_3",0.027
"837","pa14_spent","JV161","trial_3",0.049
"838","pa14_spent","JV162","trial_3",0.038
"839","pa14_spent","JV163","trial_3",0.039
"840","pa14_spent","JV164","trial_3",0.008
"841","pa14_spent","JV165","trial_3",0.043
"842","pa14_spent","JV166","trial_3",0.036
"843","pa14_spent","JV167","trial_3",0.042
"844","pa14_spent","JV168","trial_3",0.032
"845","pa14_spent","JV169","trial_3",0.048
"846","pa14_spent","JV170","trial_3",0.03
"847","pa14_spent","JV171","trial_3",0.016
"848","pa14_spent","JV412","trial_3",0
"849","pa14_spent","JV413","trial_3",0
"850","pa14_spent","JV414","trial_3",0
"851","pa14_spent","KPPR1","trial_3",0.063
"852","pa14_spent","KPPR1","trial_3",0
