"","strain","condition","OD","absorbance","trial","sum_absorb","mean_absorb","mean_sum_absorb"
"326","JV39","Clinical isolate","OD695",0.012,"trial_2",0.035,0.012,0.035
"327","JV40","Clinical isolate","OD695",0.095,"trial_2",0.192,0.0835,0.1775
"328","JV41","Clinical isolate","OD695",0.027,"trial_2",0.08,0.0215,0.0655
"329","JV42","Clinical isolate","OD695",0.046,"trial_2",0.132,0.0425,0.124
"330","JV43","Clinical isolate","OD695",0.05,"trial_2",0.133,0.052,0.139
"331","JV44","Clinical isolate","OD695",0.02,"trial_2",0.054,0.0175,0.049
"332","JV45","Clinical isolate","OD695",0.027,"trial_2",0.075,0.026,0.0705
"333","JV46","Clinical isolate","OD695",0.075,"trial_2",0.148,0.0645,0.1345
"334","JV47","Clinical isolate","OD695",0.001,"trial_2",0.001,5e-04,0.001
"335","JV48","Clinical isolate","OD695",0.051,"trial_2",0.12,0.0535,0.131
"336","JV49","Clinical isolate","OD695",0.084,"trial_2",0.198,0.0725,0.179
"337","JV50","Clinical isolate","OD695",0.025,"trial_2",0.073,0.0275,0.08
"338","JV51","Clinical isolate","OD695",0.025,"trial_2",0.064,0.026,0.071
"339","JV52","Clinical isolate","OD695",0.038,"trial_2",0.095,0.028,0.074
"340","JV53","Clinical isolate","OD695",0.055,"trial_2",0.121,0.048,0.1125
"341","JV55","Clinical isolate","OD695",0.062,"trial_2",0.134,0.064,0.153
"342","JV56","Clinical isolate","OD695",0.01,"trial_2",0.037,0.0105,0.0375
"343","JV57","Clinical isolate","OD695",0.048,"trial_2",0.113,0.042,0.1025
"344","JV58","Clinical isolate","OD695",0.026,"trial_2",0.074,0.0225,0.0645
"345","JV59","Clinical isolate","OD695",0.052,"trial_2",0.148,0.046,0.1365
"346","JV60","Clinical isolate","OD695",0.078,"trial_2",0.182,0.069,0.1685
"347","JV61","Clinical isolate","OD695",0.053,"trial_2",0.134,0.0485,0.126
"348","JV62","Clinical isolate","OD695",0.078,"trial_2",0.157,0.0785,0.1725
"349","JV63","Clinical isolate","OD695",0.04,"trial_2",0.113,0.0325,0.102
"350","JV64","Clinical isolate","OD695",0.041,"trial_2",0.121,0.0345,0.1025
"351","JV65","Clinical isolate","OD695",0.049,"trial_2",0.123,0.0475,0.1205
"352","JV66","Clinical isolate","OD695",0.054,"trial_2",0.141,0.0515,0.139
"353","JV67","Clinical isolate","OD695",0.047,"trial_2",0.109,0.0415,0.1055
"354","JV68","Clinical isolate","OD695",0.069,"trial_2",0.139,0.058,0.1165
"355","JV69","Clinical isolate","OD695",0.047,"trial_2",0.119,0.052,0.141
"356","JV70","Clinical isolate","OD695",0.014,"trial_2",0.039,0.0175,0.052
"357","JV71","Clinical isolate","OD695",0.094,"trial_2",0.176,0.0815,0.1575
"358","JV73","Clinical isolate","OD695",0.053,"trial_2",0.146,0.0505,0.142
"359","JV193","Clinical isolate","OD695",0.083,"trial_2",0.23,0.051,0.143
"360","JV194","Clinical isolate","OD695",0.049,"trial_2",0.133,0.048,0.132
"361","JV195","Clinical isolate","OD695",0.085,"trial_2",0.212,0.085,0.2215
"362","JV196","Clinical isolate","OD695",0.035,"trial_2",0.107,0.0285,0.0875
"363","JV197","Clinical isolate","OD695",0.044,"trial_2",0.133,0.036,0.1115
"364","JV198","Clinical isolate","OD695",0.039,"trial_2",0.113,0.0325,0.097
"365","JV199","Clinical isolate","OD695",0.032,"trial_2",0.1,0.0295,0.094
"366","JV200","Clinical isolate","OD695",0.04,"trial_2",0.117,0.029,0.086
"367","JV201","Clinical isolate","OD695",0.063,"trial_2",0.153,0.058,0.1425
"368","JV202","Clinical isolate","OD695",0.016,"trial_2",0.057,0.012,0.0445
"369","JV203","Clinical isolate","OD695",0.105,"trial_2",0.279,0.0895,0.246
"370","JV204","Clinical isolate","OD695",0.049,"trial_2",0.121,0.0405,0.102
"371","JV257","Clinical isolate","OD695",0.09,"trial_2",0.223,0.084,0.2175
"372","JV258","Clinical isolate","OD695",0.011,"trial_2",0.037,0.01,0.0325
"373","JV259","Clinical isolate","OD695",0.054,"trial_2",0.146,0.0405,0.1145
"374","JV260","Clinical isolate","OD695",0.004,"trial_2",0.021,0.0055,0.0255
"375","JV261","Clinical isolate","OD695",0.033,"trial_2",0.072,0.053,0.1255
"376","JV262","Clinical isolate","OD695",0.026,"trial_2",0.077,0.0345,0.1045
"377","JV263","Clinical isolate","OD695",0.016,"trial_2",0.052,0.038,0.118
"378","JV264","Clinical isolate","OD695",0.041,"trial_2",0.093,0.0465,0.112
"379","JV265","Clinical isolate","OD695",0.05,"trial_2",0.095,0.0675,0.119
"380","JV266","Clinical isolate","OD695",0.039,"trial_2",0.11,0.043,0.1205
"381","JV267","Clinical isolate","OD695",0.026,"trial_2",0.071,0.0225,0.063
"382","JV268","Clinical isolate","OD695",0.092,"trial_2",0.156,0.1065,0.182
"383","JV269","Clinical isolate","OD695",0.021,"trial_2",0.053,0.023,0.057
"384","JV270","Clinical isolate","OD695",0.024,"trial_2",0.076,0.0215,0.071
"385","JV271","Clinical isolate","OD695",0.049,"trial_2",0.111,0.0415,0.106
"386","JV272","Clinical isolate","OD695",0.015,"trial_2",0.048,0.01,0.0335
"387","JV273","Clinical isolate","OD695",0.088,"trial_2",0.59,0.0645,0.472
"388","JV274","Clinical isolate","OD695",0.064,"trial_2",0.169,0.0475,0.129
"389","JV275","Clinical isolate","OD695",0.041,"trial_2",0.11,0.038,0.1055
"390","JV276","Clinical isolate","OD695",0.053,"trial_2",0.147,0.059,0.1685
"391","JV287","Clinical isolate","OD695",0.04,"trial_2",0.104,0.04,0.102
"392","JV288","Clinical isolate","OD695",0.039,"trial_2",0.105,0.035,0.0955
"393","JV289","Clinical isolate","OD695",0.048,"trial_2",0.105,0.04,0.091
"394","JV290","Clinical isolate","OD695",0.057,"trial_2",0.153,0.048,0.125
"395","JV291","Clinical isolate","OD695",0.013,"trial_2",0.04,0.0095,0.031
"396","JV292","Clinical isolate","OD695",0.012,"trial_2",0.026,0.009,0.021
"397","JV294","Clinical isolate","OD695",0.042,"trial_2",0.117,0.051,0.1345
"398","JV296","Clinical isolate","OD695",0.007,"trial_2",0.023,0.0095,0.0305
"399","JV297","Clinical isolate","OD695",0.009,"trial_2",0.034,0.006,0.0245
"400","JV298","Clinical isolate","OD695",0.029,"trial_2",0.092,0.03,0.103
"401","Pa14","Pa14","OD695",0.078,"trial_2",0.178,0.066,0.145333333333333
"402","bquote(""Pa14""*Delta*italic(""phzA-G""))","bquote(""Pa14""*Delta*italic(""phzA-G""))","OD695",0.03,"trial_2",0.096,0.0326666666666667,0.102666666666667
"403","MG1655pPhzA-GS*M","MG1655pPhzA-GS*M","OD695",0.038,"trial_2",0.338,0.0405,0.3545
"404","MG1655pPhzA-GSM","MG1655pPhzA-GSM","OD695",0.031,"trial_2",0.038,0.032,0.04
"405","JV299","Clinical isolate","OD500",0.106,"trial_3",0.204,0.106,0.204
"406","JV301","Clinical isolate","OD500",0.062,"trial_3",0.093,0.062,0.093
"407","JV302","Clinical isolate","OD500",0.104,"trial_3",0.189,0.104,0.189
"408","JV303","Clinical isolate","OD500",0.079,"trial_3",0.128,0.079,0.128
"409","JV304","Clinical isolate","OD500",0.084,"trial_3",0.133,0.084,0.133
"410","JV305","Clinical isolate","OD500",0.108,"trial_3",0.18,0.108,0.18
"411","JV306","Clinical isolate","OD500",0.118,"trial_3",0.212,0.118,0.212
"412","JV307","Clinical isolate","OD500",0.231,"trial_3",0.384,0.231,0.384
"413","JV308","Clinical isolate","OD500",0.052,"trial_3",0.078,0.052,0.078
"414","JV309","Clinical isolate","OD500",0.069,"trial_3",0.106,0.069,0.106
"415","JV310","Clinical isolate","OD500",0.013,"trial_3",0.021,0.013,0.021
"416","JV311","Clinical isolate","OD500",0.087,"trial_3",0.132,0.087,0.132
"417","JV312","Clinical isolate","OD500",0.081,"trial_3",0.171,0.081,0.171
"418","JV313","Clinical isolate","OD500",0.072,"trial_3",0.108,0.072,0.108
"419","JV314","Clinical isolate","OD500",0.074,"trial_3",0.109,0.074,0.109
"420","JV315","Clinical isolate","OD500",0.064,"trial_3",0.12,0.064,0.12
"421","JV316","Clinical isolate","OD500",0.081,"trial_3",0.139,0.081,0.139
"422","JV317","Clinical isolate","OD500",0.067,"trial_3",0.106,0.067,0.106
"423","JV318","Clinical isolate","OD500",0.109,"trial_3",0.184,0.109,0.184
"424","JV319","Clinical isolate","OD500",0.021,"trial_3",0.035,0.021,0.035
"425","JV320","Clinical isolate","OD500",0.054,"trial_3",0.077,0.054,0.077
"426","JV321","Clinical isolate","OD500",0.037,"trial_3",0.057,0.037,0.057
"427","JV322","Clinical isolate","OD500",0.066,"trial_3",0.17,0.066,0.17
"428","JV323","Clinical isolate","OD500",0.026,"trial_3",0.039,0.026,0.039
"429","JV324","Clinical isolate","OD500",0.059,"trial_3",0.087,0.059,0.087
"430","JV325","Clinical isolate","OD500",0.157,"trial_3",0.244,0.157,0.244
"431","JV326","Clinical isolate","OD500",0.079,"trial_3",0.121,0.079,0.121
"432","JV327","Clinical isolate","OD500",0.051,"trial_3",0.073,0.051,0.073
"433","JV328","Clinical isolate","OD500",0.035,"trial_3",0.053,0.035,0.053
"434","JV329","Clinical isolate","OD500",0.083,"trial_3",0.123,0.083,0.123
"435","JV330","Clinical isolate","OD500",0.059,"trial_3",0.088,0.059,0.088
"436","JV331","Clinical isolate","OD500",0.108,"trial_3",0.179,0.108,0.179
"437","JV332","Clinical isolate","OD500",0.153,"trial_3",0.269,0.153,0.269
"438","JV333","Clinical isolate","OD500",0.068,"trial_3",0.112,0.068,0.112
"439","JV334","Clinical isolate","OD500",0.064,"trial_3",0.102,0.064,0.102
"440","JV335","Clinical isolate","OD500",0.1,"trial_3",0.165,0.1,0.165
"441","JV336","Clinical isolate","OD500",0.103,"trial_3",0.184,0.103,0.184
"442","JV337","Clinical isolate","OD500",0.083,"trial_3",0.156,0.083,0.156
"443","JV340","Clinical isolate","OD500",0.013,"trial_3",0.018,0.013,0.018
"444","JV341","Clinical isolate","OD500",0.074,"trial_3",0.134,0.074,0.134
"445","JV342","Clinical isolate","OD500",0.102,"trial_3",0.157,0.102,0.157
"446","JV343","Clinical isolate","OD500",0.036,"trial_3",0.062,0.036,0.062
"447","JV344","Clinical isolate","OD500",0.091,"trial_3",0.148,0.091,0.148
"448","JV345","Clinical isolate","OD500",0.075,"trial_3",0.13,0.075,0.13
"449","JV346","Clinical isolate","OD500",0.065,"trial_3",0.11,0.065,0.11
"450","JV347","Clinical isolate","OD500",0.082,"trial_3",0.135,0.082,0.135
"451","JV348","Clinical isolate","OD500",0.091,"trial_3",0.137,0.091,0.137
"452","JV349","Clinical isolate","OD500",0.088,"trial_3",0.132,0.088,0.132
"453","JV350","Clinical isolate","OD500",0.056,"trial_3",0.082,0.056,0.082
"454","JV351","Clinical isolate","OD500",0.091,"trial_3",0.137,0.091,0.137
"455","JV352","Clinical isolate","OD500",0.088,"trial_3",0.134,0.088,0.134
"456","JV353","Clinical isolate","OD500",0.058,"trial_3",0.113,0.058,0.113
"457","JV354","Clinical isolate","OD500",0.179,"trial_3",0.237,0.179,0.237
"458","JV355","Clinical isolate","OD500",0.147,"trial_3",0.252,0.147,0.252
"459","JV356","Clinical isolate","OD500",0.087,"trial_3",0.13,0.087,0.13
"460","JV357","Clinical isolate","OD500",0.143,"trial_3",0.268,0.143,0.268
"461","JV358","Clinical isolate","OD500",0.078,"trial_3",0.125,0.078,0.125
"462","JV359","Clinical isolate","OD500",0.092,"trial_3",0.14,0.092,0.14
"463","JV360","Clinical isolate","OD500",0.079,"trial_3",0.124,0.079,0.124
"464","JV361","Clinical isolate","OD500",0.055,"trial_3",0.089,0.055,0.089
"465","JV362","Clinical isolate","OD500",0.046,"trial_3",0.081,0.046,0.081
"466","JV363","Clinical isolate","OD500",0.065,"trial_3",0.097,0.065,0.097
"467","JV364","Clinical isolate","OD500",0.109,"trial_3",0.185,0.109,0.185
"468","JV365","Clinical isolate","OD500",0.1,"trial_3",0.146,0.1,0.146
"469","JV366","Clinical isolate","OD500",0.108,"trial_3",0.181,0.108,0.181
"470","JV367","Clinical isolate","OD500",0.095,"trial_3",0.143,0.095,0.143
"471","JV368","Clinical isolate","OD500",0.094,"trial_3",0.157,0.094,0.157
"472","JV369","Clinical isolate","OD500",0.062,"trial_3",0.118,0.062,0.118
"473","JV370","Clinical isolate","OD500",0.082,"trial_3",0.132,0.082,0.132
"474","JV371","Clinical isolate","OD500",0.056,"trial_3",0.083,0.056,0.083
"475","JV372","Clinical isolate","OD500",0.076,"trial_3",0.128,0.076,0.128
"476","JV373","Clinical isolate","OD500",0.062,"trial_3",0.106,0.062,0.106
"477","JV374","Clinical isolate","OD500",0.116,"trial_3",0.184,0.116,0.184
"478","JV375","Clinical isolate","OD500",0.081,"trial_3",0.131,0.081,0.131
"479","JV376","Clinical isolate","OD500",0.017,"trial_3",0.027,0.017,0.027
"480","JV377","Clinical isolate","OD500",0.079,"trial_3",0.142,0.079,0.142
"481","JV378","Clinical isolate","OD500",0.101,"trial_3",0.18,0.101,0.18
"482","JV379","Clinical isolate","OD500",0.185,"trial_3",0.311,0.185,0.311
"483","JV380","Clinical isolate","OD500",0.1,"trial_3",0.15,0.1,0.15
"484","JV381","Clinical isolate","OD500",0.042,"trial_3",0.062,0.042,0.062
"485","JV382","Clinical isolate","OD500",0.087,"trial_3",0.123,0.087,0.123
"486","JV384","Clinical isolate","OD500",0.054,"trial_3",0.089,0.054,0.089
"487","JV391","Clinical isolate","OD500",0.085,"trial_3",0.146,0.085,0.146
"488","JV392","Clinical isolate","OD500",0.055,"trial_3",0.082,0.055,0.082
"489","JV393","Clinical isolate","OD500",0.108,"trial_3",0.184,0.108,0.184
"490","JV394","Clinical isolate","OD500",0.011,"trial_3",0.014,0.011,0.014
"491","JV395","Clinical isolate","OD500",0.011,"trial_3",0.015,0.011,0.015
"492","JV415","Clinical isolate","OD500",0.087,"trial_3",0.136,0.087,0.136
"493","JV416","Clinical isolate","OD500",0.134,"trial_3",0.239,0.134,0.239
"494","JV417","Clinical isolate","OD500",0.014,"trial_3",0.017,0.014,0.017
"495","JV418","Clinical isolate","OD500",0.004,"trial_3",0.005,0.004,0.005
"496","JV419","Clinical isolate","OD500",0.086,"trial_3",0.136,0.086,0.136
"497","JV420","Clinical isolate","OD500",0.023,"trial_3",0.044,0.023,0.044
"498","JV421","Clinical isolate","OD500",0.035,"trial_3",0.05,0.035,0.05
"499","JV422","Clinical isolate","OD500",0.093,"trial_3",0.139,0.093,0.139
"500","JV423","Clinical isolate","OD500",0.041,"trial_3",0.051,0.041,0.051
"501","JV424","Clinical isolate","OD500",0.566,"trial_3",0.662,0.566,0.662
"502","Pa14","Pa14","OD500",0.076,"trial_3",0.144,0.0793333333333333,0.145333333333333
"503","bquote(""Pa14""*Delta*italic(""phzA-G""))","bquote(""Pa14""*Delta*italic(""phzA-G""))","OD500",0.087,"trial_3",0.131,0.07,0.102666666666667
"504","JV299","Clinical isolate","OD695",0.098,"trial_3",0.204,0.098,0.204
"505","JV301","Clinical isolate","OD695",0.031,"trial_3",0.093,0.031,0.093
"506","JV302","Clinical isolate","OD695",0.085,"trial_3",0.189,0.085,0.189
"507","JV303","Clinical isolate","OD695",0.049,"trial_3",0.128,0.049,0.128
"508","JV304","Clinical isolate","OD695",0.049,"trial_3",0.133,0.049,0.133
"509","JV305","Clinical isolate","OD695",0.072,"trial_3",0.18,0.072,0.18
"510","JV306","Clinical isolate","OD695",0.094,"trial_3",0.212,0.094,0.212
"511","JV307","Clinical isolate","OD695",0.153,"trial_3",0.384,0.153,0.384
"512","JV308","Clinical isolate","OD695",0.026,"trial_3",0.078,0.026,0.078
"513","JV309","Clinical isolate","OD695",0.037,"trial_3",0.106,0.037,0.106
"514","JV310","Clinical isolate","OD695",0.008,"trial_3",0.021,0.008,0.021
"515","JV311","Clinical isolate","OD695",0.045,"trial_3",0.132,0.045,0.132
"516","JV312","Clinical isolate","OD695",0.09,"trial_3",0.171,0.09,0.171
"517","JV313","Clinical isolate","OD695",0.036,"trial_3",0.108,0.036,0.108
"518","JV314","Clinical isolate","OD695",0.035,"trial_3",0.109,0.035,0.109
"519","JV315","Clinical isolate","OD695",0.056,"trial_3",0.12,0.056,0.12
"520","JV316","Clinical isolate","OD695",0.058,"trial_3",0.139,0.058,0.139
"521","JV317","Clinical isolate","OD695",0.039,"trial_3",0.106,0.039,0.106
"522","JV318","Clinical isolate","OD695",0.075,"trial_3",0.184,0.075,0.184
"523","JV319","Clinical isolate","OD695",0.014,"trial_3",0.035,0.014,0.035
"524","JV320","Clinical isolate","OD695",0.023,"trial_3",0.077,0.023,0.077
"525","JV321","Clinical isolate","OD695",0.02,"trial_3",0.057,0.02,0.057
"526","JV322","Clinical isolate","OD695",0.104,"trial_3",0.17,0.104,0.17
"527","JV323","Clinical isolate","OD695",0.013,"trial_3",0.039,0.013,0.039
"528","JV324","Clinical isolate","OD695",0.028,"trial_3",0.087,0.028,0.087
"529","JV325","Clinical isolate","OD695",0.087,"trial_3",0.244,0.087,0.244
"530","JV326","Clinical isolate","OD695",0.042,"trial_3",0.121,0.042,0.121
"531","JV327","Clinical isolate","OD695",0.022,"trial_3",0.073,0.022,0.073
"532","JV328","Clinical isolate","OD695",0.018,"trial_3",0.053,0.018,0.053
"533","JV329","Clinical isolate","OD695",0.04,"trial_3",0.123,0.04,0.123
"534","JV330","Clinical isolate","OD695",0.029,"trial_3",0.088,0.029,0.088
"535","JV331","Clinical isolate","OD695",0.071,"trial_3",0.179,0.071,0.179
"536","JV332","Clinical isolate","OD695",0.116,"trial_3",0.269,0.116,0.269
"537","JV333","Clinical isolate","OD695",0.044,"trial_3",0.112,0.044,0.112
"538","JV334","Clinical isolate","OD695",0.038,"trial_3",0.102,0.038,0.102
"539","JV335","Clinical isolate","OD695",0.065,"trial_3",0.165,0.065,0.165
"540","JV336","Clinical isolate","OD695",0.081,"trial_3",0.184,0.081,0.184
"541","JV337","Clinical isolate","OD695",0.073,"trial_3",0.156,0.073,0.156
"542","JV340","Clinical isolate","OD695",0.005,"trial_3",0.018,0.005,0.018
"543","JV341","Clinical isolate","OD695",0.06,"trial_3",0.134,0.06,0.134
"544","JV342","Clinical isolate","OD695",0.055,"trial_3",0.157,0.055,0.157
"545","JV343","Clinical isolate","OD695",0.026,"trial_3",0.062,0.026,0.062
"546","JV344","Clinical isolate","OD695",0.057,"trial_3",0.148,0.057,0.148
"547","JV345","Clinical isolate","OD695",0.055,"trial_3",0.13,0.055,0.13
"548","JV346","Clinical isolate","OD695",0.045,"trial_3",0.11,0.045,0.11
"549","JV347","Clinical isolate","OD695",0.053,"trial_3",0.135,0.053,0.135
"550","JV348","Clinical isolate","OD695",0.046,"trial_3",0.137,0.046,0.137
"551","JV349","Clinical isolate","OD695",0.044,"trial_3",0.132,0.044,0.132
"552","JV350","Clinical isolate","OD695",0.026,"trial_3",0.082,0.026,0.082
"553","JV351","Clinical isolate","OD695",0.046,"trial_3",0.137,0.046,0.137
"554","JV352","Clinical isolate","OD695",0.046,"trial_3",0.134,0.046,0.134
"555","JV353","Clinical isolate","OD695",0.055,"trial_3",0.113,0.055,0.113
"556","JV354","Clinical isolate","OD695",0.058,"trial_3",0.237,0.058,0.237
"557","JV355","Clinical isolate","OD695",0.105,"trial_3",0.252,0.105,0.252
"558","JV356","Clinical isolate","OD695",0.043,"trial_3",0.13,0.043,0.13
"559","JV357","Clinical isolate","OD695",0.125,"trial_3",0.268,0.125,0.268
"560","JV358","Clinical isolate","OD695",0.047,"trial_3",0.125,0.047,0.125
"561","JV359","Clinical isolate","OD695",0.048,"trial_3",0.14,0.048,0.14
"562","JV360","Clinical isolate","OD695",0.045,"trial_3",0.124,0.045,0.124
"563","JV361","Clinical isolate","OD695",0.034,"trial_3",0.089,0.034,0.089
"564","JV362","Clinical isolate","OD695",0.035,"trial_3",0.081,0.035,0.081
"565","JV363","Clinical isolate","OD695",0.032,"trial_3",0.097,0.032,0.097
"566","JV364","Clinical isolate","OD695",0.076,"trial_3",0.185,0.076,0.185
"567","JV365","Clinical isolate","OD695",0.046,"trial_3",0.146,0.046,0.146
"568","JV366","Clinical isolate","OD695",0.073,"trial_3",0.181,0.073,0.181
"569","JV367","Clinical isolate","OD695",0.048,"trial_3",0.143,0.048,0.143
"570","JV368","Clinical isolate","OD695",0.063,"trial_3",0.157,0.063,0.157
"571","JV369","Clinical isolate","OD695",0.056,"trial_3",0.118,0.056,0.118
"572","JV370","Clinical isolate","OD695",0.05,"trial_3",0.132,0.05,0.132
"573","JV371","Clinical isolate","OD695",0.027,"trial_3",0.083,0.027,0.083
"574","JV372","Clinical isolate","OD695",0.052,"trial_3",0.128,0.052,0.128
"575","JV373","Clinical isolate","OD695",0.044,"trial_3",0.106,0.044,0.106
"576","JV374","Clinical isolate","OD695",0.068,"trial_3",0.184,0.068,0.184
"577","JV375","Clinical isolate","OD695",0.05,"trial_3",0.131,0.05,0.131
"578","JV376","Clinical isolate","OD695",0.01,"trial_3",0.027,0.01,0.027
"579","JV377","Clinical isolate","OD695",0.063,"trial_3",0.142,0.063,0.142
"580","JV378","Clinical isolate","OD695",0.079,"trial_3",0.18,0.079,0.18
"581","JV379","Clinical isolate","OD695",0.126,"trial_3",0.311,0.126,0.311
"582","JV380","Clinical isolate","OD695",0.05,"trial_3",0.15,0.05,0.15
"583","JV381","Clinical isolate","OD695",0.02,"trial_3",0.062,0.02,0.062
"584","JV382","Clinical isolate","OD695",0.036,"trial_3",0.123,0.036,0.123
"585","JV384","Clinical isolate","OD695",0.035,"trial_3",0.089,0.035,0.089
"586","JV391","Clinical isolate","OD695",0.061,"trial_3",0.146,0.061,0.146
"587","JV392","Clinical isolate","OD695",0.027,"trial_3",0.082,0.027,0.082
"588","JV393","Clinical isolate","OD695",0.076,"trial_3",0.184,0.076,0.184
"589","JV394","Clinical isolate","OD695",0.003,"trial_3",0.014,0.003,0.014
"590","JV395","Clinical isolate","OD695",0.004,"trial_3",0.015,0.004,0.015
"591","JV415","Clinical isolate","OD695",0.049,"trial_3",0.136,0.049,0.136
"592","JV416","Clinical isolate","OD695",0.105,"trial_3",0.239,0.105,0.239
"593","JV417","Clinical isolate","OD695",0.003,"trial_3",0.017,0.003,0.017
"594","JV418","Clinical isolate","OD695",0.001,"trial_3",0.005,0.001,0.005
"595","JV419","Clinical isolate","OD695",0.05,"trial_3",0.136,0.05,0.136
"596","JV420","Clinical isolate","OD695",0.021,"trial_3",0.044,0.021,0.044
"597","JV421","Clinical isolate","OD695",0.015,"trial_3",0.05,0.015,0.05
"598","JV422","Clinical isolate","OD695",0.046,"trial_3",0.139,0.046,0.139
"599","JV423","Clinical isolate","OD695",0.01,"trial_3",0.051,0.01,0.051
"600","JV424","Clinical isolate","OD695",0.096,"trial_3",0.662,0.096,0.662
"601","Pa14","Pa14","OD695",0.068,"trial_3",0.144,0.066,0.145333333333333
"602","bquote(""Pa14""*Delta*italic(""phzA-G""))","bquote(""Pa14""*Delta*italic(""phzA-G""))","OD695",0.044,"trial_3",0.131,0.0326666666666667,0.102666666666667
