"","Strain","Plate","Chemical","corr_OD595","trial","chem_mean"
"757","JV4","PM1","Gly-Pro",0.739,"trial_2",1.15966666666667
"758","JV4","PM1","p-Hydroxyphenyl Acetic acid",0.569,"trial_2",0.893333333333333
"759","JV4","PM1","m-Hydroxyphenyl Acetic acid",0.034,"trial_2",0.0113333333333333
"760","JV4","PM1","Tyramine",0.413,"trial_2",0.396333333333333
"761","JV4","PM1","D-Psicose",0.262,"trial_2",0.271
"762","JV4","PM1","L-Lyxose",1.093,"trial_2",1.10866666666667
"763","JV4","PM1","Glucuronamide",0.09,"trial_2",0.0846666666666667
"764","JV4","PM1","Pyruvic acid",0.763,"trial_2",0.745666666666667
"765","JV4","PM1","L-Galactonic acid-g-Lactone",0.04,"trial_2",0.0183333333333333
"766","JV4","PM1","D-Galacturonic acid",0.031,"trial_2",0.0156666666666667
"767","JV4","PM1","b-Phenylethylamine",0.043,"trial_2",0.0193333333333333
"768","JV4","PM1","Ethanolamine",1.056,"trial_2",0.998333333333333
"769","JV4","PM1","Negative Control",0,"trial_3",0
"770","JV4","PM1","L-Arabinose",0.652,"trial_3",0.604333333333333
"771","JV4","PM1","N-Acetyl-D-Glucosamine",0.084,"trial_3",0.144666666666667
"772","JV4","PM1","D-Saccharic acid",0,"trial_3",0.00866666666666667
"773","JV4","PM1","Succinic acid",0.694,"trial_3",0.868666666666667
"774","JV4","PM1","D-Galactose",0.057,"trial_3",0.0316666666666667
"775","JV4","PM1","L-Aspartic acid",0.648,"trial_3",0.819333333333333
"776","JV4","PM1","L-Proline",0.551,"trial_3",0.656
"777","JV4","PM1","D-Alanine",0.114,"trial_3",0.14
"778","JV4","PM1","D-Trehalose",0.025,"trial_3",0.041
"779","JV4","PM1","D-Mannose",0.011,"trial_3",0.00966666666666667
"780","JV4","PM1","Dulcitol",0,"trial_3",0.0183333333333333
"781","JV4","PM1","D-Serine",0,"trial_3",0
"782","JV4","PM1","D-Sorbitol",0.044,"trial_3",0.037
"783","JV4","PM1","Glycerol",0.176,"trial_3",0.188666666666667
"784","JV4","PM1","L-Fucose",0.119,"trial_3",0.11
"785","JV4","PM1","D-Glucuronic acid",0.018,"trial_3",0.0303333333333333
"786","JV4","PM1","D-Gluconic acid",1.029,"trial_3",1.237
"787","JV4","PM1","DL-a-Glycerol Phosphate",0.139,"trial_3",0.165
"788","JV4","PM1","D-Xylose",1.156,"trial_3",1.02166666666667
"789","JV4","PM1","L-Lactic acid",0.707,"trial_3",0.701666666666667
"790","JV4","PM1","Formic acid",0.017,"trial_3",0.046
"791","JV4","PM1","D-Mannitol",0.84,"trial_3",0.874666666666667
"792","JV4","PM1","L-Glutamic acid",0.91,"trial_3",1.39133333333333
"793","JV4","PM1","D-Glucose-6-Phosphate",0,"trial_3",0
"794","JV4","PM1","D-Galactonic acid-g-Lactone",0,"trial_3",0
"795","JV4","PM1","DL-Malic acid",0.97,"trial_3",1.05233333333333
"796","JV4","PM1","D-Ribose",0.997,"trial_3",0.957666666666667
"797","JV4","PM1","Tween 20",1.655,"trial_3",1.04466666666667
"798","JV4","PM1","L-Rhamnose",0.064,"trial_3",0.109666666666667
"799","JV4","PM1","D-Fructose",0.958,"trial_3",0.979666666666667
"800","JV4","PM1","Acetic acid",0.447,"trial_3",0.442666666666667
"801","JV4","PM1","a-D-Glucose",1.26,"trial_3",1.39933333333333
"802","JV4","PM1","Maltose",0.033,"trial_3",0.043
"803","JV4","PM1","D-Melibiose",0.017,"trial_3",0.046
"804","JV4","PM1","Thymidine",0,"trial_3",0.017
"805","JV4","PM1","L-Asparagine",1.254,"trial_3",1.32866666666667
"806","JV4","PM1","D-Aspartic acid",0,"trial_3",0.0103333333333333
"807","JV4","PM1","D-Glucosaminic acid",0.031,"trial_3",0.042
"808","JV4","PM1","1,2-Propanediol",0.053,"trial_3",0.061
"809","JV4","PM1","Tween 40",0.976,"trial_3",1.12466666666667
"810","JV4","PM1","a-Ketoglutaric acid",0.332,"trial_3",0.431666666666667
"811","JV4","PM1","a-Ketobutyric acid",0.026,"trial_3",0.044
"812","JV4","PM1","a-Methyl D-Galactoside",0.025,"trial_3",0.067
"813","JV4","PM1","a-D-Lactose",0.018,"trial_3",0.05
"814","JV4","PM1","Lactulose",0.024,"trial_3",0.042
"815","JV4","PM1","Sucrose",0.007,"trial_3",0.0436666666666667
"816","JV4","PM1","Uridine",0.109,"trial_3",0.163666666666667
"817","JV4","PM1","L-Glutamine",1.095,"trial_3",1.28433333333333
"818","JV4","PM1","m-Tartaric acid",0,"trial_3",0
"819","JV4","PM1","D-Glucose-1-Phosphate",0.022,"trial_3",0.029
"820","JV4","PM1","D-Fructose-6-Phosphate",0.247,"trial_3",0.204666666666667
"821","JV4","PM1","Tween 80",0.519,"trial_3",0.783666666666667
"822","JV4","PM1","a-Hydroxyglutaric acid-g-Lactone",0,"trial_3",0.0336666666666667
"823","JV4","PM1","a-Hydroxybutyric acid",0,"trial_3",0.0166666666666667
"824","JV4","PM1","b-Methyl D-Glucoside",0.009,"trial_3",0.045
"825","JV4","PM1","Adonitol",0.018,"trial_3",0.059
"826","JV4","PM1","Maltotriose",0.045,"trial_3",0.102333333333333
"827","JV4","PM1","2`-Deoxyadenosine",0,"trial_3",0
"828","JV4","PM1","Adenosine",0.195,"trial_3",0.313666666666667
"829","JV4","PM1","Gly-Asp",0.101,"trial_3",0.111666666666667
"830","JV4","PM1","Citric acid",0.934,"trial_3",1.117
"831","JV4","PM1","m-Inositol",0.021,"trial_3",0.0286666666666667
"832","JV4","PM1","D-Threonine",0,"trial_3",0.019
"833","JV4","PM1","Fumaric acid",0.998,"trial_3",1.654
"834","JV4","PM1","Bromosuccinic acid",0.161,"trial_3",0.335666666666667
"835","JV4","PM1","Propionic acid",0.14,"trial_3",0.534333333333333
"836","JV4","PM1","Mucic acid",0.015,"trial_3",0.078
"837","JV4","PM1","Glycolic acid",0,"trial_3",0.0296666666666667
"838","JV4","PM1","Glyoxylic acid",0,"trial_3",0.0193333333333333
"839","JV4","PM1","D-Cellobiose",0,"trial_3",0.048
"840","JV4","PM1","Inosine",0.681,"trial_3",0.771
"841","JV4","PM1","Gly-Glu",0.076,"trial_3",0.116
"842","JV4","PM1","Tricarballylic acid",0.027,"trial_3",0.0373333333333333
"843","JV4","PM1","L-Serine",0.1,"trial_3",0.114333333333333
"844","JV4","PM1","L-Threonine",0.04,"trial_3",0.0626666666666667
"845","JV4","PM1","L-Alanine",0.152,"trial_3",0.19
"846","JV4","PM1","Ala-Gly",0.059,"trial_3",0.0843333333333333
"847","JV4","PM1","Acetoacetic acid",0.03,"trial_3",0.0473333333333333
"848","JV4","PM1","N-Acetyl-D-Mannosamine",0.016,"trial_3",0.0333333333333333
"849","JV4","PM1","Mono-methyl Succinate",0.06,"trial_3",0.141666666666667
"850","JV4","PM1","Methyl Pyruvate",0.134,"trial_3",0.246
"851","JV4","PM1","D-Malic acid",0.038,"trial_3",0.0803333333333333
"852","JV4","PM1","L-Malic acid",0.849,"trial_3",1.46366666666667
"853","JV4","PM1","Gly-Pro",0.506,"trial_3",1.15966666666667
"854","JV4","PM1","p-Hydroxyphenyl Acetic acid",0.429,"trial_3",0.893333333333333
"855","JV4","PM1","m-Hydroxyphenyl Acetic acid",0,"trial_3",0.0113333333333333
"856","JV4","PM1","Tyramine",0.378,"trial_3",0.396333333333333
"857","JV4","PM1","D-Psicose",0.302,"trial_3",0.271
"858","JV4","PM1","L-Lyxose",1.134,"trial_3",1.10866666666667
"859","JV4","PM1","Glucuronamide",0.094,"trial_3",0.0846666666666667
"860","JV4","PM1","Pyruvic acid",0.562,"trial_3",0.745666666666667
"861","JV4","PM1","L-Galactonic acid-g-Lactone",0.015,"trial_3",0.0183333333333333
"862","JV4","PM1","D-Galacturonic acid",0,"trial_3",0.0156666666666667
"863","JV4","PM1","b-Phenylethylamine",0,"trial_3",0.0193333333333333
"864","JV4","PM1","Ethanolamine",0.894,"trial_3",0.998333333333333
"865","JV5","PM1","Negative Control",0,"trial_1",0
"866","JV5","PM1","L-Arabinose",0.447,"trial_1",0.624333333333333
"867","JV5","PM1","N-Acetyl-D-Glucosamine",0.136,"trial_1",0.167
"868","JV5","PM1","D-Saccharic acid",0,"trial_1",0.00433333333333333
"869","JV5","PM1","Succinic acid",1.06,"trial_1",1.046
"870","JV5","PM1","D-Galactose",0,"trial_1",0.04
"871","JV5","PM1","L-Aspartic acid",0.732,"trial_1",0.822333333333333
"872","JV5","PM1","L-Proline",0.652,"trial_1",0.739666666666667
"873","JV5","PM1","D-Alanine",0.123,"trial_1",0.176666666666667
"874","JV5","PM1","D-Trehalose",0.054,"trial_1",0.043
"875","JV5","PM1","D-Mannose",0,"trial_1",0.043
"876","JV5","PM1","Dulcitol",0,"trial_1",0.0493333333333333
"877","JV5","PM1","D-Serine",0,"trial_1",0
"878","JV5","PM1","D-Sorbitol",0.006,"trial_1",0.0273333333333333
"879","JV5","PM1","Glycerol",0.187,"trial_1",0.229666666666667
"880","JV5","PM1","L-Fucose",0.034,"trial_1",0.0896666666666667
"881","JV5","PM1","D-Glucuronic acid",0.013,"trial_1",0.031
"882","JV5","PM1","D-Gluconic acid",1.09,"trial_1",1.11866666666667
"883","JV5","PM1","DL-a-Glycerol Phosphate",0.153,"trial_1",0.140333333333333
"884","JV5","PM1","D-Xylose",0.938,"trial_1",1.141
"885","JV5","PM1","L-Lactic acid",0.899,"trial_1",0.889333333333333
"886","JV5","PM1","Formic acid",0.01,"trial_1",0.023
"887","JV5","PM1","D-Mannitol",0.841,"trial_1",0.959666666666667
"888","JV5","PM1","L-Glutamic acid",1.117,"trial_1",1.31633333333333
"889","JV5","PM1","D-Glucose-6-Phosphate",0,"trial_1",0
"890","JV5","PM1","D-Galactonic acid-g-Lactone",0,"trial_1",0
"891","JV5","PM1","DL-Malic acid",1.109,"trial_1",1.12766666666667
"892","JV5","PM1","D-Ribose",0.858,"trial_1",1.00866666666667
"893","JV5","PM1","Tween 20",0.724,"trial_1",0.805333333333333
"894","JV5","PM1","L-Rhamnose",0.071,"trial_1",0.0936666666666667
"895","JV5","PM1","D-Fructose",0.798,"trial_1",0.936666666666667
"896","JV5","PM1","Acetic acid",0.344,"trial_1",0.288333333333333
"897","JV5","PM1","a-D-Glucose",1.205,"trial_1",1.337
"898","JV5","PM1","Maltose",0.016,"trial_1",0.0326666666666667
"899","JV5","PM1","D-Melibiose",0.012,"trial_1",0.025
"900","JV5","PM1","Thymidine",0,"trial_1",0.007
"901","JV5","PM1","L-Asparagine",1.195,"trial_1",1.412
"902","JV5","PM1","D-Aspartic acid",0,"trial_1",0.00333333333333333
"903","JV5","PM1","D-Glucosaminic acid",0.011,"trial_1",0.0273333333333333
"904","JV5","PM1","1,2-Propanediol",0.031,"trial_1",0.0493333333333333
"905","JV5","PM1","Tween 40",1.031,"trial_1",1.01533333333333
"906","JV5","PM1","a-Ketoglutaric acid",0.415,"trial_1",0.390666666666667
"907","JV5","PM1","a-Ketobutyric acid",0.078,"trial_1",0.0816666666666667
"908","JV5","PM1","a-Methyl D-Galactoside",0.027,"trial_1",0.041
"909","JV5","PM1","a-D-Lactose",0.017,"trial_1",0.0276666666666667
"910","JV5","PM1","Lactulose",0.016,"trial_1",0.0296666666666667
"911","JV5","PM1","Sucrose",0.012,"trial_1",0.0286666666666667
"912","JV5","PM1","Uridine",0.108,"trial_1",0.169666666666667
"913","JV5","PM1","L-Glutamine",1.249,"trial_1",1.367
"914","JV5","PM1","m-Tartaric acid",0,"trial_1",0
"915","JV5","PM1","D-Glucose-1-Phosphate",0.005,"trial_1",0.028
"916","JV5","PM1","D-Fructose-6-Phosphate",0.152,"trial_1",0.224333333333333
"917","JV5","PM1","Tween 80",0.416,"trial_1",0.78
"918","JV5","PM1","a-Hydroxyglutaric acid-g-Lactone",0,"trial_1",0.00666666666666667
"919","JV5","PM1","a-Hydroxybutyric acid",0,"trial_1",0
"920","JV5","PM1","b-Methyl D-Glucoside",0.053,"trial_1",0.0423333333333333
"921","JV5","PM1","Adonitol",0.043,"trial_1",0.035
"922","JV5","PM1","Maltotriose",0.088,"trial_1",0.0823333333333333
"923","JV5","PM1","2`-Deoxyadenosine",0,"trial_1",0
"924","JV5","PM1","Adenosine",0.191,"trial_1",0.314333333333333
"925","JV5","PM1","Gly-Asp",0.039,"trial_1",0.0476666666666667
"926","JV5","PM1","Citric acid",1.078,"trial_1",1.04466666666667
"927","JV5","PM1","m-Inositol",0.003,"trial_1",0.0163333333333333
"928","JV5","PM1","D-Threonine",0,"trial_1",0.0406666666666667
"929","JV5","PM1","Fumaric acid",1.325,"trial_1",1.233
"930","JV5","PM1","Bromosuccinic acid",0.376,"trial_1",0.333666666666667
"931","JV5","PM1","Propionic acid",0.394,"trial_1",0.310333333333333
"932","JV5","PM1","Mucic acid",0.047,"trial_1",0.0416666666666667
"933","JV5","PM1","Glycolic acid",0,"trial_1",0
"934","JV5","PM1","Glyoxylic acid",0,"trial_1",0.00733333333333333
"935","JV5","PM1","D-Cellobiose",0.028,"trial_1",0.0413333333333333
"936","JV5","PM1","Inosine",0.604,"trial_1",0.771
"937","JV5","PM1","Gly-Glu",0.05,"trial_1",0.0466666666666667
"938","JV5","PM1","Tricarballylic acid",0.021,"trial_1",0.0283333333333333
"939","JV5","PM1","L-Serine",0.115,"trial_1",0.187
"940","JV5","PM1","L-Threonine",0.036,"trial_1",0.0366666666666667
"941","JV5","PM1","L-Alanine",0.274,"trial_1",0.249
"942","JV5","PM1","Ala-Gly",0.043,"trial_1",0.0596666666666667
"943","JV5","PM1","Acetoacetic acid",0.042,"trial_1",0.056
"944","JV5","PM1","N-Acetyl-D-Mannosamine",0.019,"trial_1",0.029
"945","JV5","PM1","Mono-methyl Succinate",0.13,"trial_1",0.12
"946","JV5","PM1","Methyl Pyruvate",0.288,"trial_1",0.277333333333333
"947","JV5","PM1","D-Malic acid",0.096,"trial_1",0.077
"948","JV5","PM1","L-Malic acid",1.481,"trial_1",1.43133333333333
"949","JV5","PM1","Gly-Pro",0.65,"trial_1",0.624
"950","JV5","PM1","p-Hydroxyphenyl Acetic acid",0.668,"trial_1",0.573666666666667
"951","JV5","PM1","m-Hydroxyphenyl Acetic acid",0,"trial_1",0
"952","JV5","PM1","Tyramine",0.415,"trial_1",0.430666666666667
"953","JV5","PM1","D-Psicose",0.253,"trial_1",0.303
"954","JV5","PM1","L-Lyxose",1.035,"trial_1",1.15733333333333
"955","JV5","PM1","Glucuronamide",0.053,"trial_1",0.0913333333333333
"956","JV5","PM1","Pyruvic acid",0.623,"trial_1",0.677
"957","JV5","PM1","L-Galactonic acid-g-Lactone",0,"trial_1",0.0113333333333333
"958","JV5","PM1","D-Galacturonic acid",0,"trial_1",0.00533333333333333
"959","JV5","PM1","b-Phenylethylamine",0.022,"trial_1",0.0283333333333333
"960","JV5","PM1","Ethanolamine",0.915,"trial_1",1.01066666666667
"961","JV5","PM1","Negative Control",0,"trial_2",0
"962","JV5","PM1","L-Arabinose",0.652,"trial_2",0.624333333333333
"963","JV5","PM1","N-Acetyl-D-Glucosamine",0.245,"trial_2",0.167
"964","JV5","PM1","D-Saccharic acid",0.005,"trial_2",0.00433333333333333
"965","JV5","PM1","Succinic acid",1.254,"trial_2",1.046
"966","JV5","PM1","D-Galactose",0.032,"trial_2",0.04
"967","JV5","PM1","L-Aspartic acid",1.061,"trial_2",0.822333333333333
"968","JV5","PM1","L-Proline",1.042,"trial_2",0.739666666666667
"969","JV5","PM1","D-Alanine",0.286,"trial_2",0.176666666666667
"970","JV5","PM1","D-Trehalose",0.038,"trial_2",0.043
"971","JV5","PM1","D-Mannose",0.093,"trial_2",0.043
"972","JV5","PM1","Dulcitol",0.135,"trial_2",0.0493333333333333
"973","JV5","PM1","D-Serine",0,"trial_2",0
"974","JV5","PM1","D-Sorbitol",0.047,"trial_2",0.0273333333333333
"975","JV5","PM1","Glycerol",0.296,"trial_2",0.229666666666667
"976","JV5","PM1","L-Fucose",0.109,"trial_2",0.0896666666666667
"977","JV5","PM1","D-Glucuronic acid",0.036,"trial_2",0.031
"978","JV5","PM1","D-Gluconic acid",1.411,"trial_2",1.11866666666667
"979","JV5","PM1","DL-a-Glycerol Phosphate",0.144,"trial_2",0.140333333333333
"980","JV5","PM1","D-Xylose",1.266,"trial_2",1.141
"981","JV5","PM1","L-Lactic acid",1.116,"trial_2",0.889333333333333
"982","JV5","PM1","Formic acid",0.047,"trial_2",0.023
"983","JV5","PM1","D-Mannitol",1.121,"trial_2",0.959666666666667
"984","JV5","PM1","L-Glutamic acid",2.091,"trial_2",1.31633333333333
"985","JV5","PM1","D-Glucose-6-Phosphate",0,"trial_2",0
"986","JV5","PM1","D-Galactonic acid-g-Lactone",0,"trial_2",0
"987","JV5","PM1","DL-Malic acid",1.571,"trial_2",1.12766666666667
"988","JV5","PM1","D-Ribose",1.05,"trial_2",1.00866666666667
"989","JV5","PM1","Tween 20",0.745,"trial_2",0.805333333333333
"990","JV5","PM1","L-Rhamnose",0.113,"trial_2",0.0936666666666667
"991","JV5","PM1","D-Fructose",0.99,"trial_2",0.936666666666667
"992","JV5","PM1","Acetic acid",0.389,"trial_2",0.288333333333333
"993","JV5","PM1","a-D-Glucose",1.638,"trial_2",1.337
"994","JV5","PM1","Maltose",0.05,"trial_2",0.0326666666666667
"995","JV5","PM1","D-Melibiose",0.04,"trial_2",0.025
"996","JV5","PM1","Thymidine",0.021,"trial_2",0.007
"997","JV5","PM1","L-Asparagine",1.83,"trial_2",1.412
"998","JV5","PM1","D-Aspartic acid",0.01,"trial_2",0.00333333333333333
"999","JV5","PM1","D-Glucosaminic acid",0.033,"trial_2",0.0273333333333333
"1000","JV5","PM1","1,2-Propanediol",0.055,"trial_2",0.0493333333333333
"1001","JV5","PM1","Tween 40",1.133,"trial_2",1.01533333333333
"1002","JV5","PM1","a-Ketoglutaric acid",0.43,"trial_2",0.390666666666667
"1003","JV5","PM1","a-Ketobutyric acid",0.167,"trial_2",0.0816666666666667
"1004","JV5","PM1","a-Methyl D-Galactoside",0.037,"trial_2",0.041
"1005","JV5","PM1","a-D-Lactose",0.032,"trial_2",0.0276666666666667
"1006","JV5","PM1","Lactulose",0.039,"trial_2",0.0296666666666667
"1007","JV5","PM1","Sucrose",0.051,"trial_2",0.0286666666666667
"1008","JV5","PM1","Uridine",0.27,"trial_2",0.169666666666667
"1009","JV5","PM1","L-Glutamine",1.906,"trial_2",1.367
"1010","JV5","PM1","m-Tartaric acid",0,"trial_2",0
"1011","JV5","PM1","D-Glucose-1-Phosphate",0.047,"trial_2",0.028
"1012","JV5","PM1","D-Fructose-6-Phosphate",0.24,"trial_2",0.224333333333333
"1013","JV5","PM1","Tween 80",0.771,"trial_2",0.78
"1014","JV5","PM1","a-Hydroxyglutaric acid-g-Lactone",0.011,"trial_2",0.00666666666666667
"1015","JV5","PM1","a-Hydroxybutyric acid",0,"trial_2",0
"1016","JV5","PM1","b-Methyl D-Glucoside",0.033,"trial_2",0.0423333333333333
"1017","JV5","PM1","Adonitol",0.023,"trial_2",0.035
"1018","JV5","PM1","Maltotriose",0.082,"trial_2",0.0823333333333333
"1019","JV5","PM1","2`-Deoxyadenosine",0,"trial_2",0
"1020","JV5","PM1","Adenosine",0.539,"trial_2",0.314333333333333
"1021","JV5","PM1","Gly-Asp",0.047,"trial_2",0.0476666666666667
"1022","JV5","PM1","Citric acid",1.324,"trial_2",1.04466666666667
"1023","JV5","PM1","m-Inositol",0.03,"trial_2",0.0163333333333333
"1024","JV5","PM1","D-Threonine",0.085,"trial_2",0.0406666666666667
"1025","JV5","PM1","Fumaric acid",1.589,"trial_2",1.233
"1026","JV5","PM1","Bromosuccinic acid",0.372,"trial_2",0.333666666666667
"1027","JV5","PM1","Propionic acid",0.339,"trial_2",0.310333333333333
"1028","JV5","PM1","Mucic acid",0.031,"trial_2",0.0416666666666667
"1029","JV5","PM1","Glycolic acid",0,"trial_2",0
"1030","JV5","PM1","Glyoxylic acid",0.014,"trial_2",0.00733333333333333
"1031","JV5","PM1","D-Cellobiose",0.061,"trial_2",0.0413333333333333
"1032","JV5","PM1","Inosine",1.045,"trial_2",0.771
"1033","JV5","PM1","Gly-Glu",0.063,"trial_2",0.0466666666666667
"1034","JV5","PM1","Tricarballylic acid",0.051,"trial_2",0.0283333333333333
"1035","JV5","PM1","L-Serine",0.408,"trial_2",0.187
"1036","JV5","PM1","L-Threonine",0,"trial_2",0.0366666666666667
"1037","JV5","PM1","L-Alanine",0.351,"trial_2",0.249
"1038","JV5","PM1","Ala-Gly",0.08,"trial_2",0.0596666666666667
"1039","JV5","PM1","Acetoacetic acid",0.046,"trial_2",0.056
"1040","JV5","PM1","N-Acetyl-D-Mannosamine",0.029,"trial_2",0.029
"1041","JV5","PM1","Mono-methyl Succinate",0.144,"trial_2",0.12
"1042","JV5","PM1","Methyl Pyruvate",0.289,"trial_2",0.277333333333333
"1043","JV5","PM1","D-Malic acid",0.075,"trial_2",0.077
"1044","JV5","PM1","L-Malic acid",1.998,"trial_2",1.43133333333333
"1045","JV5","PM1","Gly-Pro",0.837,"trial_2",0.624
"1046","JV5","PM1","p-Hydroxyphenyl Acetic acid",0.599,"trial_2",0.573666666666667
"1047","JV5","PM1","m-Hydroxyphenyl Acetic acid",0,"trial_2",0
"1048","JV5","PM1","Tyramine",0.471,"trial_2",0.430666666666667
"1049","JV5","PM1","D-Psicose",0.283,"trial_2",0.303
"1050","JV5","PM1","L-Lyxose",1.171,"trial_2",1.15733333333333
"1051","JV5","PM1","Glucuronamide",0.085,"trial_2",0.0913333333333333
"1052","JV5","PM1","Pyruvic acid",0.814,"trial_2",0.677
"1053","JV5","PM1","L-Galactonic acid-g-Lactone",0.014,"trial_2",0.0113333333333333
"1054","JV5","PM1","D-Galacturonic acid",0.016,"trial_2",0.00533333333333333
"1055","JV5","PM1","b-Phenylethylamine",0.034,"trial_2",0.0283333333333333
"1056","JV5","PM1","Ethanolamine",1.259,"trial_2",1.01066666666667
"1057","JV5","PM1","Negative Control",0,"trial_3",0
"1058","JV5","PM1","L-Arabinose",0.774,"trial_3",0.624333333333333
"1059","JV5","PM1","N-Acetyl-D-Glucosamine",0.12,"trial_3",0.167
"1060","JV5","PM1","D-Saccharic acid",0.008,"trial_3",0.00433333333333333
"1061","JV5","PM1","Succinic acid",0.824,"trial_3",1.046
"1062","JV5","PM1","D-Galactose",0.088,"trial_3",0.04
"1063","JV5","PM1","L-Aspartic acid",0.674,"trial_3",0.822333333333333
"1064","JV5","PM1","L-Proline",0.525,"trial_3",0.739666666666667
"1065","JV5","PM1","D-Alanine",0.121,"trial_3",0.176666666666667
"1066","JV5","PM1","D-Trehalose",0.037,"trial_3",0.043
"1067","JV5","PM1","D-Mannose",0.036,"trial_3",0.043
"1068","JV5","PM1","Dulcitol",0.013,"trial_3",0.0493333333333333
"1069","JV5","PM1","D-Serine",0,"trial_3",0
"1070","JV5","PM1","D-Sorbitol",0.029,"trial_3",0.0273333333333333
"1071","JV5","PM1","Glycerol",0.206,"trial_3",0.229666666666667
"1072","JV5","PM1","L-Fucose",0.126,"trial_3",0.0896666666666667
"1073","JV5","PM1","D-Glucuronic acid",0.044,"trial_3",0.031
"1074","JV5","PM1","D-Gluconic acid",0.855,"trial_3",1.11866666666667
"1075","JV5","PM1","DL-a-Glycerol Phosphate",0.124,"trial_3",0.140333333333333
"1076","JV5","PM1","D-Xylose",1.219,"trial_3",1.141
"1077","JV5","PM1","L-Lactic acid",0.653,"trial_3",0.889333333333333
"1078","JV5","PM1","Formic acid",0.012,"trial_3",0.023
"1079","JV5","PM1","D-Mannitol",0.917,"trial_3",0.959666666666667
"1080","JV5","PM1","L-Glutamic acid",0.741,"trial_3",1.31633333333333
"1081","JV5","PM1","D-Glucose-6-Phosphate",0,"trial_3",0
"1082","JV5","PM1","D-Galactonic acid-g-Lactone",0,"trial_3",0
"1083","JV5","PM1","DL-Malic acid",0.703,"trial_3",1.12766666666667
"1084","JV5","PM1","D-Ribose",1.118,"trial_3",1.00866666666667
"1085","JV5","PM1","Tween 20",0.947,"trial_3",0.805333333333333
"1086","JV5","PM1","L-Rhamnose",0.097,"trial_3",0.0936666666666667
"1087","JV5","PM1","D-Fructose",1.022,"trial_3",0.936666666666667
"1088","JV5","PM1","Acetic acid",0.132,"trial_3",0.288333333333333
"1089","JV5","PM1","a-D-Glucose",1.168,"trial_3",1.337
"1090","JV5","PM1","Maltose",0.032,"trial_3",0.0326666666666667
"1091","JV5","PM1","D-Melibiose",0.023,"trial_3",0.025
"1092","JV5","PM1","Thymidine",0,"trial_3",0.007
"1093","JV5","PM1","L-Asparagine",1.211,"trial_3",1.412
"1094","JV5","PM1","D-Aspartic acid",0,"trial_3",0.00333333333333333
"1095","JV5","PM1","D-Glucosaminic acid",0.038,"trial_3",0.0273333333333333
"1096","JV5","PM1","1,2-Propanediol",0.062,"trial_3",0.0493333333333333
"1097","JV5","PM1","Tween 40",0.882,"trial_3",1.01533333333333
"1098","JV5","PM1","a-Ketoglutaric acid",0.327,"trial_3",0.390666666666667
"1099","JV5","PM1","a-Ketobutyric acid",0,"trial_3",0.0816666666666667
"1100","JV5","PM1","a-Methyl D-Galactoside",0.059,"trial_3",0.041
"1101","JV5","PM1","a-D-Lactose",0.034,"trial_3",0.0276666666666667
"1102","JV5","PM1","Lactulose",0.034,"trial_3",0.0296666666666667
"1103","JV5","PM1","Sucrose",0.023,"trial_3",0.0286666666666667
"1104","JV5","PM1","Uridine",0.131,"trial_3",0.169666666666667
"1105","JV5","PM1","L-Glutamine",0.946,"trial_3",1.367
"1106","JV5","PM1","m-Tartaric acid",0,"trial_3",0
"1107","JV5","PM1","D-Glucose-1-Phosphate",0.032,"trial_3",0.028
"1108","JV5","PM1","D-Fructose-6-Phosphate",0.281,"trial_3",0.224333333333333
"1109","JV5","PM1","Tween 80",1.153,"trial_3",0.78
"1110","JV5","PM1","a-Hydroxyglutaric acid-g-Lactone",0.009,"trial_3",0.00666666666666667
"1111","JV5","PM1","a-Hydroxybutyric acid",0,"trial_3",0
"1112","JV5","PM1","b-Methyl D-Glucoside",0.041,"trial_3",0.0423333333333333
"1113","JV5","PM1","Adonitol",0.039,"trial_3",0.035
"1114","JV5","PM1","Maltotriose",0.077,"trial_3",0.0823333333333333
"1115","JV5","PM1","2`-Deoxyadenosine",0,"trial_3",0
"1116","JV5","PM1","Adenosine",0.213,"trial_3",0.314333333333333
"1117","JV5","PM1","Gly-Asp",0.057,"trial_3",0.0476666666666667
"1118","JV5","PM1","Citric acid",0.732,"trial_3",1.04466666666667
"1119","JV5","PM1","m-Inositol",0.016,"trial_3",0.0163333333333333
"1120","JV5","PM1","D-Threonine",0.037,"trial_3",0.0406666666666667
"1121","JV5","PM1","Fumaric acid",0.785,"trial_3",1.233
"1122","JV5","PM1","Bromosuccinic acid",0.253,"trial_3",0.333666666666667
"1123","JV5","PM1","Propionic acid",0.198,"trial_3",0.310333333333333
"1124","JV5","PM1","Mucic acid",0.047,"trial_3",0.0416666666666667
"1125","JV5","PM1","Glycolic acid",0,"trial_3",0
"1126","JV5","PM1","Glyoxylic acid",0.008,"trial_3",0.00733333333333333
"1127","JV5","PM1","D-Cellobiose",0.035,"trial_3",0.0413333333333333
"1128","JV5","PM1","Inosine",0.664,"trial_3",0.771
"1129","JV5","PM1","Gly-Glu",0.027,"trial_3",0.0466666666666667
"1130","JV5","PM1","Tricarballylic acid",0.013,"trial_3",0.0283333333333333
"1131","JV5","PM1","L-Serine",0.038,"trial_3",0.187
"1132","JV5","PM1","L-Threonine",0.074,"trial_3",0.0366666666666667
"1133","JV5","PM1","L-Alanine",0.122,"trial_3",0.249
